drug name,molecular_formula,smiles,,molecular_weight
Lindane,C6H6Cl6,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,,Breast Feeding|Lactation|Anti-Infective Agents|Antiparasitic Agents|Insecticides
Gallium Citrate Ga 67,C6H5GaO7,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[67Ga+3],,Breast Feeding|Lactation|Radiopharmaceuticals|Gallium Radioisotopes|Diagnostic Agents
Ferric Citrate,C6H5FeO7,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Fe+3],,Breast Feeding|Lactation|Chelating Agents|Ferric Compounds|Hematinics|Iron Compounds
Simethicone,C6H18O4Si3,CO[Si](C)(C)O[Si](C)(C)C.O=[Si]=O,,Breast Feeding|Lactation|Antifoaming Agents
Trientine,C6H18N4,C(CNCCNCCN)N,,Breast Feeding|Lactation|Chelating Agents
Carbachol,C6H15ClN2O2,C[N+](C)(C)CCOC(=O)N.[Cl-],,Breast Feeding|Lactation|Miotics|Muscarinic Agonists|Parasympathomimetics
Busulfan,C6H14O6S2,CS(=O)(=O)OCCCCOS(=O)(=O)C,,Breast Feeding|Lactation|Antineoplastic Agents|Alkylating Agents
Glucosamine,C6H13NO5,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)N)O)O)O,,Breast Feeding|Lactation|Complementary Therapies
cyclamate,C6H13NO3S,C1CCC(CC1)NS(=O)(=O)O,,"Breast Feeding|Lactation|Milk, Human|Artificial Sweeteners|Sweetening Agents"
Methenamine,C6H12N4,C1N2CN3CN1CN(C2)C3,,"Breast Feeding|Lactation|Anti-Infective Agents, Urinary|Antibacterial Agents"
Carboplatin,C6H12N2O4Pt,C1CC(C1)(C(=O)O)C(=O)O.[NH2-].[NH2-].[Pt+2],,"Breast Feeding|Lactation|Milk, Human|Antineoplastic Agents|Platinum Compounds"
Samarium Sm 153 Lexidronam Pentasodium,C6H12N2Na5O12P4Sm,C(CN(CP(=O)([O-])[O-])CP(=O)([O-])[O-])N(CP(=O)([O-])[O-])CP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[153Sm+3],,Breast Feeding|Lactation|Radiopharmaceuticals|Samarium Radioisotopes
Eflornithine,C6H12F2N2O2,C(CC(C(F)F)(C(=O)O)N)CN,,Breast Feeding|Lactation|Antiparasitic Agents|Antiprotozoal Agents|Enzyme Inhibitors|Trypanocidal Agents
Sevelamer,C6H12ClNO,C=CCN.C1C(O1)CCl,,Breast Feeding|Lactation|Chelating Agents
Vigabatrin,C6H11NO2,C=CC(CCC(=O)O)N,,Breast Feeding|Lactation|Anticonvulsants|GABA Agents
Fludeoxyglucose F18,C6H11FO5,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)[18F])O)O)O,,"Breast Feeding|Lactation|Milk, Human|Radiopharmaceuticals|Diagnostic Agents"
Dacarbazine,C6H10N6O,CN(C)/N=N/C1=C(NC=N1)C(=O)N,,"Breast Feeding|Lactation|Antineoplastic Agents|Antineoplastic Agents, Alkylating"
Vancomycin,C66H75Cl2N9O24,C[C@H]1[C@H]([C@@](C[C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)[C@H]([C@H](C(=O)N[C@H](C(=O)N[C@H]5C(=O)N[C@@H]7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9O)O)[C@H](NC(=O)[C@H]([C@@H](C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)CC(=O)N)NC(=O)[C@@H](CC(C)C)NC)O)Cl)CO)O)O)(C)N)O,,"Breast Feeding|Lactation|Milk, Human|Anti-Infective Agents|Antibacterial Agents|Glycopeptides"
Lutetium Lu 177 Dotatate,C65H87LuN14O19S2,C[C@H]([C@H]1C(=O)N[C@@H](CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=C(C=C4)O)NC(=O)[C@@H](CC5=CC=CC=C5)NC(=O)CN6CCN(CCN(CCN(CC6)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])C(=O)N[C@@H]([C@@H](C)O)C(=O)O)O.[177Lu+3],,Breast Feeding|Lactation|Radiopharmaceuticals|Lutetium Radioisotopes
Gallium Ga 68 Dotatate,C65H87GaN14O19S2,C[C@H]([C@H]1C(=O)N[C@@H](CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=C(C=C4)O)NC(=O)[C@@H](CC5=CC=CC=C5)NC(=O)CN6CCN(CCN(CCN(CC6)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])C(=O)N[C@@H]([C@@H](C)O)C(=O)O)O.[68Ga+3],,Breast Feeding|Lactation|Diagnostic Agents|Radiopharmaceuticals|Gallium Radioisotopes
Plecanatide,C65H104N18O26S4,C[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CSSC[C@H](NC(=O)CNC(=O)[C@@H](NC2=O)[C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)O)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)C(C)C)CC(=O)N)C(C)C)CC(C)C)CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)N)N,,Breast Feeding|Lactation|Gastrointestinal Agents|Peptides|Guanylyl Cyclase C Agonists|Laxatives
rezafungin,C63H85N8O17+,CCCCCOC1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=C(C=C3)C(=O)N[C@H]4C[C@H]([C@H](NC(=O)[C@@H]5[C@H]([C@H](CN5C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]6C[C@H](CN6C(=O)[C@@H](NC4=O)[C@@H](C)O)O)[C@@H]([C@H](C7=CC=C(C=C7)O)O)O)[C@@H](C)O)C)O)OCC[N+](C)(C)C)O,,"Breast Feeding|Lactation|Milk, Human|Antifungal Agents|Echinocandins"
Indium In 111 Pentetreotide,C63H84InN13O19S2,[H+].CC(C1C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)NC(=O)C(CC5=CC=CC=C5)NC(=O)CN(CCN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])C(=O)NC(CO)C(C)O)O.[In+3],,Breast Feeding|Lactation|Radiopharmaceuticals|Indium Radioisotopes|Diagnostic Agents
voclosporin,C63H111N11O12,CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)C/C=C/C=C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,,Breast Feeding|Lactation|Immunosuppressive Agents
Cyclosporine,C62H111N11O12,CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,,"Breast Feeding|Lactation|Milk, Human|Antirheumatic Agents|Calcineurin Inhibitors|Immunosuppressive Agents"
Rhubarb,C61H50O30,C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3C2=O.C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3OC4C(C(C(C(O4)CO)O)O)O)O.C1=C(C=C(C(=C1O)O)O)C(=O)OCC2C(C(C(C(O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O)O,,"Breast Feeding|Lactation|Cathartics|Complementary Therapies|Food|Phytotherapy|Plants, Medicinal"
aminolevulinic,C5H9NO3,C(CC(=O)O)C(=O)CN,,"Breast Feeding|Lactation|Milk, Human|Dermatologic Agents|Photosensitizing Agents"
Carmustine,C5H9Cl2N3O2,C(CCl)NC(=O)N(CCCl)N=O,,"Breast Feeding|Lactation|Antineoplastic Agents, Alkylating|Nitrosourea Compounds"
Methazolamide,C5H8N4O3S2,CC(=O)N=C1N(N=C(S1)S(=O)(=O)N)C,,Breast Feeding|Lactation|Antiglaucoma Agents|Carbonic Anhydrase Inhibitors|Diuretics
Thioguanine,C5H5N5S,C1=NC2=C(N1)C(=S)N=C(N2)N,,Breast Feeding|Lactation|Antimetabolites|Antineoplastic Agents
Pyrazinamide,C5H5N3O,C1=CN=C(C=N1)C(=O)N,,"Breast Feeding|Lactation|Milk, Human|Anti-infective Agents|Antitubercular Agents"
Mercaptopurine,C5H4N4S,C1=NC2=C(N1)C(=S)N=CN2,,Breast Feeding|Lactation|Antineoplastic Agents|Antimetabolites|Immunosuppressive Agents
Allopurinol,C5H4N4O,C1=NNC2=C1C(=O)NC=N2,,Breast Feeding|Lactation|Antigout Agents|Enzyme Inhibitors|Gout Suppressants
favipiravir,C5H4FN3O2,C1=C(N=C(C(=O)N1)C(=O)N)F,,"Breast Feeding|Lactation|Milk, Human|Antiviral Agents"
acamprosate,C5H11NO4S,CC(=O)NCCCS(=O)(=O)O,,"Breast Feeding|Lactation|Milk, Human|Alcohol Deterrents|Central Nervous System Agents"
Penicillamine,C5H11NO2S,CC(C)([C@H](C(=O)O)N)S,,Breast Feeding|Lactation|Antirheumatic Agents
mechlorethamine,C5H11Cl2N,CN(CCCl)CCCl,,"Breast Feeding|Lactation|Milk, Human|Antineoplastic Agents|Alkylating Agents|Irritants"
d-Xylose C14,C5H10O5,C([C@H]([C@@H]([C@H]([14CH]=O)O)O)O)O,,Breast Feeding|Lactation|Radiopharmaceuticals|Carbon Radioisotopes|Diagnostic Agents
Coenzyme Q10,C59H90O4,CC1=C(C(=O)C(=C(C1=O)OC)OC)C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C,,Breast Feeding|Lactation|Complementary Therapies|Coenzymes
icatibant,C59H89N19O13S,C1CC[C@H]2[C@@H](C1)C[C@H](N2C(=O)[C@H]3CC4=CC=CC=C4CN3C(=O)[C@H](CO)NC(=O)[C@H](CC5=CC=CS5)NC(=O)CNC(=O)[C@@H]6C[C@H](CN6C(=O)[C@@H]7CCCN7C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](CCCN=C(N)N)N)O)C(=O)N[C@@H](CCCN=C(N)N)C(=O)O,,"Breast Feeding|Lactation|Milk, Human|Bradykinin Receptor Antagonists|Bradykinin B2 Receptor Antagonists"
Linaclotide,C59H79N15O21S6,C[C@H]1C(=O)N[C@H]2CSSC[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CSSC[C@H](NC(=O)CNC(=O)[C@@H](NC2=O)[C@@H](C)O)C(=O)N[C@@H](CC4=CC=C(C=C4)O)C(=O)O)C(=O)N[C@@H](CSSC[C@@H](C(=O)N3)N)C(=O)N[C@H](C(=O)N5CCC[C@H]5C(=O)N1)CC(=O)N)CC6=CC=C(C=C6)O)CCC(=O)O,,"Breast Feeding|Lactation|Milk, Human|Gastrointestinal Agents|Peptides|Guanylate Cyclase C Agonists|Laxatives"
anidulafungin,C58H73N7O17,CCCCCOC1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=C(C=C3)C(=O)N[C@H]4C[C@H]([C@H](NC(=O)[C@@H]5[C@H]([C@H](CN5C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]6C[C@H](CN6C(=O)[C@@H](NC4=O)[C@@H](C)O)O)[C@@H]([C@H](C7=CC=C(C=C7)O)O)O)[C@@H](C)O)C)O)O)O,,"Breast Feeding|Lactation|Milk, Human|Antifungal Agents|Echinocandins"
Pasireotide,C58H66N10O9,C1[C@H](CN2[C@@H]1C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C2=O)CC3=CC=CC=C3)CC4=CC=C(C=C4)OCC5=CC=CC=C5)CCCCN)CC6=CNC7=CC=CC=C76)C8=CC=CC=C8)OC(=O)NCCN,,"Breastfeeding|Lactation|Milk, Human|Hormones|Somatostatin Analogs and Derivatives"
Pibrentasvir,C57H65F5N10O8,C[C@H]([C@@H](C(=O)N1CCC[C@H]1C2=NC3=C(N2)C=C(C(=C3)F)[C@H]4CC[C@@H](N4C5=CC(=C(C(=C5)F)N6CCC(CC6)C7=CC=C(C=C7)F)F)C8=CC9=C(C=C8F)N=C(N9)[C@@H]1CCCN1C(=O)[C@H]([C@@H](C)OC)NC(=O)OC)NC(=O)OC)OC,,"Breast Feeding|Lactation|Milk, Human|Antiviral Agents|NS5A Inhibitors"
(1-14C)-Triolein,C57H104O6,CCCCCCCC/C=C\CCCCCCCC(=O)OCC([14CH2]OC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC,,Breast Feeding|Lactation|Radiopharmaceuticals|Carbon Radioisotopes|Diagnostic Agents
Fennel,C56H94O5,CCCCCCCCCCC/C=C/CCCCC(=O)O.C/C=C/C1=CC=C(C=C1)OC.CC1=C(C=C2CCC(OC2=C1C)(C)CCCC(C)CCCC(C)CCCC(C)C)O,,"Breast Feeding|Lactation|Milk, Human|Complementary Therapies|Galactogogues|Phytotherapy|Plants, Medicinal"
Temsirolimus,C56H87NO16,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OC(=O)C(C)(CO)CO)C)/C)O)OC)C)C)/C)OC,,Breast Feeding|Lactation|Immunosuppressive Agents
micafungin,C56H71N9O23S,CCCCCOC1=CC=C(C=C1)C2=CC(=NO2)C3=CC=C(C=C3)C(=O)N[C@H]4C[C@H]([C@H](NC(=O)[C@@H]5[C@H]([C@H](CN5C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]6C[C@H](CN6C(=O)[C@@H](NC4=O)[C@@H](C)O)O)[C@@H]([C@H](C7=CC(=C(C=C7)O)OS(=O)(=O)O)O)O)[C@@H](CC(=O)N)O)C)O)O)O,,"Breast Feeding|Lactation|Milk, Human|Antifungal Agents|Echinocandins"
Bleomycin,C55H84N17O21S3+,CC1=C(N=C(N=C1N)[C@H](CC(=O)N)NC[C@@H](C(=O)N)N)C(=O)N[C@@H]([C@H](C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)N[C@H](C)[C@H]([C@H](C)C(=O)N[C@@H]([C@@H](C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O,,"Breast Feeding|Lactation|Antineoplastic Agents|Antibiotics, Antineoplastic"
somapacitan,C54H95N13O20S2,C(CCCCCCCC1=NNN=N1)CCCCCCCC(=O)NS(=O)(=O)CCCC(=O)NCCOCCOCC(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)NCCOCCOCC(=O)N[C@@H](CCCCNC(=O)CSC[C@@H](C(=O)O)N)C(=O)N)C(=O)O)C(=O)O,,Breast Feeding|Lactation|Human Growth Hormone
Lanreotide,C54H69N11O10S2,CC(C)C1C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=C(C=C4)O)NC(=O)C(CC5=CC6=CC=CC=C6C=C5)N)C(=O)NC(C(C)O)C(=O)N,,"Breastfeeding|Lactation|Milk, Human|Hormones|Somatostatin Analogs and Derivatives|Antineoplastic Agents, Hormonal"
Everolimus,C53H83NO14,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC,,Breast Feeding|Lactation|Immunosuppressive Agents
Atracurium,C53H72N2O12+2,C[N+]1(CCC2=CC(=C(C=C2C1CC3=CC(=C(C=C3)OC)OC)OC)OC)CCC(=O)OCCCCCOC(=O)CC[N+]4(CCC5=CC(=C(C=C5C4CC6=CC(=C(C=C6)OC)OC)OC)OC)C,,"Breast Feeding|Lactation|Milk, Human|Muscle Relaxants|Neuromuscular Nondepolarizing Agents"
Cisatracurium,C53H72N2O12+2,C[N@@+]1(CCC2=CC(=C(C=C2[C@H]1CC3=CC(=C(C=C3)OC)OC)OC)OC)CCC(=O)OCCCCCOC(=O)CC[N@+]4(CCC5=CC(=C(C=C5[C@H]4CC6=CC(=C(C=C6)OC)OC)OC)OC)C,,"Breast Feeding|Lactation|Milk, Human|Muscle Relaxants|Neuromuscular Nondepolarizing Agents"
Caspofungin,C52H88N10O15,CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@H]([C@H](NC(=O)[C@@H]2[C@H](CCN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]3C[C@H](CN3C(=O)[C@@H](NC1=O)[C@@H](C)O)O)[C@@H]([C@H](C4=CC=C(C=C4)O)O)O)[C@@H](CCN)O)O)NCCN)O,,"Breast Feeding|Lactation|Milk, Human|Antifungal Agents|Echinocandins"
Fidaxomicin,C52H74Cl2O18,CC[C@H]1/C=C(/[C@H](C/C=C/C=C(/C(=O)O[C@@H](C/C=C(/C=C(/[C@@H]1O[C@H]2[C@H]([C@H]([C@@H](C(O2)(C)C)OC(=O)C(C)C)O)O)\C)\C)[C@@H](C)O)\CO[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)OC(=O)C4=C(C(=C(C(=C4O)Cl)O)Cl)CC)O)OC)O)\C,,Breast Feeding|Lactation|Anti-Infective Agents|Macrocyclic Antibiotics
Sirolimus,C51H79NO13,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC,,Breast Feeding|Lactation|Immunosuppressive Agents
Capreomycin,C50H88N28O15,C[C@H]1C(=O)N[C@H](C(=O)N/C(=C/NC(=O)N)/C(=O)N[C@H](C(=O)NC[C@@H](C(=O)N1)N)[C@H]2CCN=C(N2)N)CNC(=O)C[C@H](CCCN)N.C1CN=C(N[C@H]1[C@H]2C(=O)NC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N/C(=C/NC(=O)N)/C(=O)N2)CNC(=O)C[C@H](CCCN)N)CO)N)N,,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Antitubercular Agents
Agalsidase Beta,C50H78N4O14,CCCCCCCC(=O)N[C@H](CN1CCCC1)[C@@H](C2=CC3=C(C=C2)OCCO3)O.CCCCCCCC(=O)N[C@H](CN1CCCC1)[C@@H](C2=CC3=C(C=C2)OCCO3)O.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O,,Breast Feeding|Lactation|Enzymes|Enzyme Replacement Therapy|alpha-Galactosidase
Bremelanotide,C50H68N14O10,CCCC[C@@H](C(=O)N[C@H]1CC(=O)NCCCC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC1=O)CC2=CN=CN2)CC3=CC=CC=C3)CCCN=C(N)N)CC4=CNC5=CC=CC=C54)C(=O)O)NC(=O)C,,"Breastfeeding|Lactation|Peptides, Cyclic"
Ombitasvir,C50H67N7O8,CC(C)[C@@H](C(=O)N1CCC[C@H]1C(=O)NC2=CC=C(C=C2)[C@@H]3CC[C@H](N3C4=CC=C(C=C4)C(C)(C)C)C5=CC=C(C=C5)NC(=O)[C@@H]6CCCN6C(=O)[C@H](C(C)C)NC(=O)OC)NC(=O)OC,,"Breast Feeding|Lactation|Milk, Human|Antiviral Agents|NS5A Inhibitors"
tenapanor,C50H66Cl4N8O10S2,CN1C[C@H](C2=C(C1)C(=CC(=C2)Cl)Cl)C3=CC(=CC=C3)S(=O)(=O)NCCOCCOCCNC(=O)NCCCCNC(=O)NCCOCCOCCNS(=O)(=O)C4=CC=CC(=C4)[C@@H]5CN(CC6=C5C=C(C=C6Cl)Cl)C,,Breast Feeding|Lactation|Gastrointestinal Agents|Membrane Transport Modulators|Laxatives
Tezacaftor and Ivacaftor,C50H55F3N4O9,CC(C)(C)C1=CC(=C(C=C1NC(=O)C2=CNC3=CC=CC=C3C2=O)O)C(C)(C)C.CC(C)(CO)C1=CC2=CC(=C(C=C2N1C[C@H](CO)O)F)NC(=O)C3(CC3)C4=CC5=C(C=C4)OC(O5)(F)F,,"Breast Feeding|Lactation|Milk, Human|Chloride Channel Agonists|Cystic Fibrosis Transmembrane Conductance Regulator Protein Modulator|CFTR Protein Modulator"
Creatine,C4H9N3O2,CN(CC(=O)O)C(=N)N,,Breast Feeding|Lactation|Complementary Therapies
asparaginase,C4H7N2O3-,C(C(C(=O)[O-])N)C(=O)N,,Breast Feeding|Lactation|Antineoplastic Agents|Enzymes
Technetium Tc 99m Dimercaptosuccinic Acid,C4H6O4S2Tc,C(C(C(=O)O)S)(C(=O)O)S.[99Tc],,Breast Feeding|Lactation|Radiopharmaceuticals|Technetium Compounds|Diagnostic Agents
Acetazolamide,C4H6N4O3S2,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,,Breast Feeding|Lactation|Anticonvulsants|Antiglaucoma Agents|Carbonic Anhydrase Inhibitors|Diuretics
Methimazole,C4H6N2S,CN1C=CNC1=S,,Breast Feeding|Lactation|Antithyroid Agents|Thionamides
Acesulfame,C4H5NO4S,CC1=CC(=O)NS(=O)(=O)O1,,"Breast Feeding|Lactation|Milk, Human|Artificial Sweeteners|Sweetening Agents"
Fluorouracil,C4H3FN2O2,C1=C(C(=O)NC(=O)N1)F,,"Breast Feeding|Lactation|Antimetabolites|Antineoplastic Agents|Antimetabolites, Antineoplastic|Immunosuppressive Agents"
Sevoflurane,C4H3F7O,C(OC(C(F)(F)F)C(F)(F)F)F,,"Breast Feeding|Lactation|Anesthetics, Inhalation"
Alendronate,C4H13NO7P2,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN,,Breast Feeding|Lactation|Bisphosphonates|Bone Density Conservation Agents|Diphosphonates
Metformin,C4H11N5,CN(C)C(=N)N=C(N)N,,Breast Feeding|Lactation|Hypoglycemic Agents|Biguanides
Octreotide,C49H66N10O10S2,C[C@H]([C@H]1C(=O)N[C@@H](CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)NC(=O)[C@@H](CC5=CC=CC=C5)N)C(=O)N[C@H](CO)[C@@H](C)O)O,,"Breast Feeding|Lactation|Milk, Human|Antineoplastic Agents, Hormonal|Gastrointestinal Agents|Somatostatin Analogs"
Elbasvir,C49H55N9O7,CC(C)[C@@H](C(=O)N1CCC[C@H]1C2=NC=C(N2)C3=CC4=C(C=C3)N5[C@@H](OC6=C(C5=C4)C=CC(=C6)C7=CN=C(N7)[C@@H]8CCCN8C(=O)[C@H](C(C)C)NC(=O)OC)C9=CC=CC=C9)NC(=O)OC,,"Breast Feeding|Lactation|Milk, Human|Antiviral Agents|NS5A Inhibitors"
Velpatasvir,C49H54N8O8,C[C@H]1CC[C@H](N1C(=O)[C@H](C(C)C)NC(=O)OC)C2=NC3=C(N2)C=CC4=CC5=C(C=C43)OCC6=C5C=CC(=C6)C7=CN=C(N7)[C@@H]8C[C@@H](CN8C(=O)[C@@H](C9=CC=CC=C9)NC(=O)OC)COC,,"Breast Feeding|Lactation|Milk, Human|Antiviral Agents|NS5A Inhibitors"
Ledipasvir,C49H54F2N8O6,CC(C)[C@@H](C(=O)N1CC2(CC2)C[C@H]1C3=NC=C(N3)C4=CC5=C(C=C4)C6=C(C5(F)F)C=C(C=C6)C7=CC8=C(C=C7)N=C(N8)[C@@H]9[C@H]1CC[C@H](C1)N9C(=O)[C@H](C(C)C)NC(=O)OC)NC(=O)OC,,Breast Feeding|Lactation|Antiviral Agents|NS5A Inhibitors
Coriander,C48H74O4,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C.CC(=CCCC(C)(C=C)O)C.C1=CC=C2C(=C1)C=CC(=O)O2,,"Breast Feeding|Lactation|Complementary Therapies|Food|Galactogogues|Phytotherapy|Plants, Medicinal"
Ivermectin,C48H74O14,CC[C@H](C)[C@@H]1[C@H](CC[C@@]2(O1)C[C@@H]3C[C@H](O2)C/C=C(/[C@H]([C@H](/C=C/C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O[C@H]7C[C@@H]([C@H]([C@@H](O7)C)O)OC)OC)\C)C,,Breast Feeding|Lactation|Anti-Infective Agents|Antiparasitic Agents|Insecticides|Macrolides
Benzathine Penicillin G,C48H56N6O8S2,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C.CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C.C1=CC=C(C=C1)CNCCNCC2=CC=CC=C2,,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Penicillins
Lumacaftor and Ivacaftor,C48H46F2N4O8,CC1=C(N=C(C=C1)NC(=O)C2(CC2)C3=CC4=C(C=C3)OC(O4)(F)F)C5=CC(=CC=C5)C(=O)O.CC(C)(C)C1=CC(=C(C=C1NC(=O)C2=CNC3=CC=CC=C3C2=O)O)C(C)(C)C,,"Breast Feeding|Lactation|Milk, Human|Chloride Channel Agonists|Cystic Fibrosis Transmembrane Conductance Regulator Protein Modulator|CFTR Protein Modulator"
Nystatin,C47H75NO17,C[C@H]1/C=C/C=C/CC/C=C/C=C/C=C/C=C/C(CC2C(C(C[C@](O2)(CC(C(CCC(CC(CC(CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)O[C@@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O,,Breast Feeding|Lactation|Antifungal Agents
Amphotericin B,C47H73NO17,C[C@H]1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O,,Breast Feeding|Lactation|Antifungal Agents
